question,answer
¿cuándo son las clases?,Las clases se llevan a cabo de lunes a viernes de 7 am a 6 pm.
¿cómo me inscribo en una asignatura?,Puedes inscribirte a través de la plataforma en línea.
historia de la universidad,La Universidad fue fundada en 2023 y consta de X programas académicos. Estos están vinculados a diversas facultades creadas para satisfacer las necesidades de la comunidad.
programas académicos,Puedes consultar información detallada de nuestros programas académicos en nuestro portal principal.
instalaciones,Nuestras instalaciones se encuentran ubicadas en el barrio Álamos en la ciudad de Pereira.
requisitos de matrícula,Entre algunos de los requisitos se encuentran: Ser bachiller y haber presentado las pruebas Saber 11. Puedes consultar los demás requisitos en nuestro portal principal.
fechas importantes,Las inscripciones se abren en las siguientes fechas: Octubre para iniciar el primer semestre del siguiente año, abril para iniciar el segundo semestre del año. Puedes consultar más fechas importantes en nuestro portal principal.
tipos de becas,Tenemos acceso a becas tanto del gobierno como algunas apoyadas por nuestra universad. Del gobierno nacional apoyamos la beca Generación E. Puedes consultar las demás becas en nuestro portal principal.
requisitos para becas,Algunos de los requisitos para acceder a las becas disponibles se encuentran: Tener entre 18 y 24 años de edad y pertenecer a un grupo en el Sisben IV.
información de contacto,Puedes contactarnos a través del correo info@uni.edu.co
horario de atención,Puedes ser atendido en el siguiente horario: 8 am a 5 pm en nuestras oficinas centrales.
